Title,Category,Genre,Description,Poster_URL
Aashiq,Bollywood,"Action, Romance","Pooja and Chander Kapoor have a heart-to-heart conversation on the telephone. When they finally meet and all is reveal they both fell in love with each other; Chander lives with his advocate dad Dilip Dev Kapoor while Pooja lives a wealthy but stressful family life with her alcoholic dad, her Dai Maa and a self-senile mother. Unfortunately for them Pooja's parents would like her to marry a person of their choice; this pits Chander against them. Then one day Pooja goes missing and the police headed by a rowdy inspector Mathur arrests Chander for abducting her much to his shock. Then Chander escapes from police custody and begins a man-hunt for Pooja.",/static/images/362100.jpg
Dillagi,Bollywood,"Drama, Romance","Two brothers -- Ranvir and Rajvir along with their parents move to Mumbai. They endure numerous hardships, but their will to survive prevails and they succeed. Soon, their parents pass away, leaving young Rajvir in the care of Ranvir. Now wealthy beyond any means, Ranvir runs the business and Rajvir lives recklessly. When Rajvir falls in love, Ranvir arranges his marriage, but to his dismay finds out that he has arranged his brother to marry the girl he loves.",/static/images/457714.jpg
Krazzy 4,Bollywood,"Comedy, Crime",4 mental patients formulate the plan to rescue their kidnapped doctor and teach the kidnappers a lesson.,/static/images/20832.jpg
Nirbhay,Bollywood,"Action, Thriller",The movie revolves with a story of innocent young man who is entrapped and convicted in a murder case. After release from jail he knows the truth and he takes revenge on those person behind the plot.,/static/images/1236085.jpg
Mirzaa,Bollywood,Drama,"Set in modern day Kolkata, Mirzaa is the story of two orthodox underworld kingpins and their hate against each other that finally shatters the world around them. Based on Shakespeare's Romeo and Juliet, Mirzaa tells the story of a time when love becomes forbidden",/static/images/812862.jpg
Maqaar,Bollywood,Action,A man has uncanny resemblances to a thief who passed away in an accident two years back and his friend tries to find the truth about his actual identity.,/static/images/1120679.jpg
Garam Masala,Bollywood,"Comedy, Action","Lusty womanizer, army Captain Kishore, wants a gypsy dancer for himself, and is ready to kill anyone who tries to get in the way. But his plans are foiled when the woman kills herself, leaving behind an injured father, the head of the gypsies, and a younger sister by the name of Jugnu. Jugnu swears to avenge her sister's death, and seeks training from Robert Taylor, and becomes an expert in weapons and fist-fighting. She assumes the guise of a masked male and calls herself ""Garam Masala"", and inflicts terror in Captain Kishore's life and army. Garam Masala's attempts to kill Kishore are foiled when she is captured. She is rescued by a mysterious masked male, who disappears into the night. Kishore is clearly baffled by the appearance of two masked men, and asks his men to search high and low for them. In the meantime, Kishore returns to his kingdom, which has it's King missing for several years, and the prince - a puppet in the hands of Kishore and his men.",/static/images/325889.jpg
Faraar,Bollywood,"Thriller, Romance, Drama",A group of freedom-fighters face betrayal and go on the run from police in British-occupied Hindustan.,/static/images/708388.jpg
Mahakaal,Bollywood,"Horror, Action, Comedy","A demon torments the family and friends of Anita in order to take revenge on his death, which was caused by her police-officer father.",/static/images/99106.jpg
Zameer,Bollywood,"Drama, Action","Maharaj Singh is a proud owner of several derby-winning stallions, and lives in a palatial farmhouse with his wife, Rukmini and young son, Chimpoo. One day dacoits attack his farmhouse with a view of stealing the stallions.",/static/images/213729.jpg
Ajji,Bollywood,"Thriller, Crime","After her 10-year-old granddaughter Manda is brutally raped by a serial sex offender, the young girl's Ajji sets out to seek revenge, after custodians of law refuse to bring the rapist to book, thanks to his influential political background.",/static/images/482154.jpg
The Wrecking Crew,Hollywood,"Action, Comedy, Crime, Mystery","Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",/static/images/1168190.jpg
Greenland 2: Migration,Hollywood,"Adventure, Thriller, Sci-Fi","Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home.",/static/images/840464.jpg
Zootopia 2,Hollywood,"Animation, Comedy, Adventure, Mystery","After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",/static/images/1084242.jpg
Anaconda,Hollywood,"Adventure, Comedy, Horror","A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",/static/images/1234731.jpg
The Rip,Hollywood,"Action, Thriller, Crime","Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",/static/images/1306368.jpg
The Internship,Hollywood,Action,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",/static/images/1584215.jpg
Strangers,Hollywood,"Action, Thriller, Crime","Seeking revenge on her abusive husband, a woman's life takes a dark turn when she meets a mysterious hitman. Drawn into a whirlwind romance, she spirals into a dangerous vigilante spree. As the body count rises, she begins to unravel the true nature of her partner and the secrets they both conceal.",/static/images/1326878.jpg
Avatar: Fire and Ash,Hollywood,"Sci-Fi, Adventure, Fantasy","In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",/static/images/83533.jpg
Predator: Badlands,Hollywood,"Action, Sci-Fi, Adventure","Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",/static/images/1242898.jpg
Dust Bunny,Hollywood,"Action, Fantasy, Thriller","Ten-year-old Aurora asks her hitman neighbor to kill the monster under her bed that she claims ate her family. To protect her, he must battle an onslaught of assassins while accepting that some monsters are real.",/static/images/1043197.jpg
Murder at the Embassy,Hollywood,"Mystery, Thriller, Action","1934. Private detective Miranda Green investigates a murder perpetrated in the British Embassy in Cairo, where a top secret document was stolen, risking to jeopardize both Buckingham Palace and the peace of the world. All those present in this closed place are suspected: the American photographer, the English student, the American actress, the Egyptian security guard, the ambassador interpreter, the Egyptian gardener and - why not? — the Ambassador himself. But who would have expected that a small group of Nazis would be behind a plot, risking to jeopardize both Buckingham Palace and the peace of the world?",/static/images/1310568.jpg
David,Hollywood,"Animation, Drama","From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.",/static/images/1167307.jpg
The Housemaid,Hollywood,"Mystery, Thriller","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",/static/images/1368166.jpg
The SpongeBob Movie: Search for SquarePants,Hollywood,"Animation, Comedy, Adventure, Fantasy","Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",/static/images/991494.jpg
War of the Worlds,Hollywood,"Sci-Fi, Thriller","Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",/static/images/755898.jpg
Send Help,Hollywood,"Horror, Thriller, Comedy","Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive.",/static/images/1198994.jpg
Icefall,Hollywood,"Action, Crime, Thriller","A young Indigenous game warden arrests an infamous poacher only to discover that the poacher knows the location of a plane carrying millions of dollars that has crashed in a frozen lake. When a group of criminals and dirty cops are alerted to the poacher’s whereabouts, the warden and the poacher team up to fight back and escape across the treacherous lake before the ice melts.",/static/images/1242501.jpg
Killer Whale,Hollywood,"Thriller, Horror, Action, Mystery, Sci-Fi",Follows best friends Maddie and Trish as they find themselves trapped in a remote lagoon with the dangerous killer whale named Ceto.,/static/images/1412598.jpg
Sinners,Hollywood,"Horror, Action, Thriller","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",/static/images/1233413.jpg
Ella McCay,Hollywood,"Comedy, Drama","An idealistic young politician juggles familial issues and a challenging work life while preparing to take over the job of her mentor, the state’s longtime incumbent governor.",/static/images/1206008.jpg
xXx,Hollywood,"Action, Adventure, Thriller, Crime, Drama","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",/static/images/7451.jpg
Ella McCay,Hollywood,"Comedy, Drama","An idealistic young politician juggles familial issues and a challenging work life while preparing to take over the job of her mentor, the state’s longtime incumbent governor.",/static/images/1206008.jpg
Now You See Me: Now You Don't,Hollywood,"Thriller, Crime, Mystery","The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",/static/images/425274.jpg
Marty Supreme,Hollywood,Drama,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",/static/images/1317288.jpg
Trap House,Hollywood,"Action, Crime, Thriller","An undercover DEA agent and his partner embark on a game of cat and mouse with an audacious, and surprising group of thieves - their own rebellious teenagers, who have begun robbing from a dangerous cartel, using their parents' tactics and top-secret intel to do it.",/static/images/628847.jpg
Mercy,Hollywood,"Sci-Fi, Action, Thriller","In the near future, a detective stands on trial accused of murdering his wife. He has ninety minutes to prove his innocence to the advanced AI Judge he once championed, before it determines his fate.",/static/images/1236153.jpg
Five Nights at Freddy's 2,Hollywood,"Horror, Thriller","One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",/static/images/1228246.jpg
One Battle After Another,Hollywood,"Thriller, Crime, Action","Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",/static/images/1054867.jpg
"Silent Night, Deadly Night",Hollywood,"Horror, Thriller","After witnessing his parents' brutal murder on Christmas Eve, Billy transforms into a Killer Santa, delivering a yearly spree of calculated, chilling violence. This year, his blood-soaked mission collides with love, as a young woman challenges him to confront his darkness.",/static/images/801937.jpg
The Avengers,Hollywood,"Sci-Fi, Action, Adventure","When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",/static/images/24428.jpg
28 Years Later: The Bone Temple,Hollywood,"Horror, Thriller, Sci-Fi",Dr. Kelson finds himself in a shocking new relationship - with consequences that could change the world as they know it - and Spike's encounter with Jimmy Crystal becomes a nightmare he can't escape.,/static/images/1272837.jpg
KPop Demon Hunters,Hollywood,"Fantasy, Comedy, Animation","When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",/static/images/803796.jpg
Jurassic World Rebirth,Hollywood,"Sci-Fi, Adventure, Action","Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",/static/images/1234821.jpg
Shelter,Hollywood,"Action, Crime, Thriller","A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past.",/static/images/1290821.jpg
Mission: Impossible - The Final Reckoning,Hollywood,"Action, Thriller, Adventure","Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",/static/images/575265.jpg
Iron Lung,Hollywood,"Sci-Fi, Horror, Mystery","The stars are gone. The planets have disappeared. Only individuals aboard space stations or starships were left to give the end a name -- The Quiet Rapture. After decades of decay and crumbling infrastructure, the Consolidation of Iron has made a discovery on a barren moon designated AT-5. An ocean of blood. Hoping to discover desperately needed resources they immediately launch an expedition. A submarine is crafted and a convict is welded inside. Due to the pressure and depth of the ocean the forward viewport has been encased in metal. If successful, they will earn their freedom. If not, another will follow. This will be the 13th expedition.",/static/images/1116201.jpg
Return to Silent Hill,Hollywood,"Horror, Mystery","When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",/static/images/680493.jpg
Frankenstein,Hollywood,"Drama, Fantasy, Horror","Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",/static/images/1062722.jpg
Worldbreaker,Hollywood,"Sci-Fi, Action, Horror","Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",/static/images/1196067.jpg
TRON: Ares,Hollywood,"Sci-Fi, Adventure, Action","A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",/static/images/533533.jpg
Greenland,Hollywood,"Action, Adventure, Thriller, Sci-Fi","John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",/static/images/524047.jpg
Muzzle: City of Wolves,Hollywood,"Action, Thriller, Mystery","LAPD officer Jake Rosser endeavors to lead a peaceful life with his family and retired K-9 officer, Socks. However, tranquility dissolves into chaos when a gang targets them in a brutal attack. Alongside his new K-9 partner Argos, Jake launches into a relentless pursuit of justice, determined to protect his loved ones.",/static/images/1439112.jpg
Eye for an Eye,Hollywood,Horror,"Anna, grieving the sudden death of her parents, relocates from New York to a small Florida town to live with the grandmother she has never met. Isolated, vulnerable, and in need of friends, she finds brief solace in the company of two local teens. But when she becomes complicit to their unforgivable act of violence, she finds herself ensnared by Mr. Sandman – the twisted soul of a tormented child who haunts bullies’ dreams before feasting on their eyeballs when they finally wake - Anna must right her wrong before becoming a victim of this gruesome curse.",/static/images/1199869.jpg
The Running Man,Hollywood,"Action, Thriller, Sci-Fi","Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",/static/images/798645.jpg
Primate,Hollywood,"Horror, Thriller","Lucy, a college student, along with her friends, spend their vacation at her family's home in Hawaii, which includes her pet chimpanzee, Ben. However, when Ben contracts rabies after being bitten by a rabid animal, the group must fight for their lives in order to avoid the now-violent chimp.",/static/images/1315303.jpg
Hamnet,Hollywood,"Drama, Romance","The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",/static/images/858024.jpg
Rental Family,Hollywood,"Comedy, Drama","An American actor in Tokyo struggles to find purpose until he lands an unusual gig: working for a Japanese 'rental family' agency, playing stand-in roles for strangers. As he immerses himself in his clients' worlds, he begins to form genuine bonds that blur the lines between performance and reality.",/static/images/1208348.jpg
Avatar,Hollywood,"Action, Adventure, Fantasy, Sci-Fi","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",/static/images/19995.jpg
Interstellar,Hollywood,"Adventure, Drama, Sci-Fi",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/static/images/157336.jpg
Avatar: The Way of Water,Hollywood,"Action, Adventure, Sci-Fi","Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",/static/images/76600.jpg
F1,Hollywood,"Action, Drama",Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,/static/images/911430.jpg
Zootopia,Hollywood,"Animation, Adventure, Comedy","Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",/static/images/269149.jpg
Melania,Hollywood,Drama,"Offering unprecedented access to the 20 days leading up to the 2025 Presidential Inauguration — through the eyes of the First Lady-elect herself — step inside Melania Trump's world as she orchestrates inauguration plans, navigates the complexities of the White House transition, and reenters public life with her family. With exclusive footage capturing critical meetings, private conversations, and never-before-seen environments, Mrs. Trump returns to one of the world's most powerful roles.",/static/images/1413097.jpg
The Unholy Trinity,Hollywood,"Adventure, Crime","Set against the turbulent backdrop of 1870s Montana, in the moments before the execution of Isaac Broadway, he gives his estranged son, Henry, an impossible task: murder the man who framed him for a crime he didn’t commit. Intent on fulfilling his promise, Henry travels to the remote town of Trinity, where an unexpected turn of events traps him in town and leaves him caught between Gabriel Dove, the town’s upstanding new sheriff, and a mysterious figure named St. Christopher.",/static/images/1195518.jpg
Bugonia,Hollywood,"Sci-Fi, Thriller, Comedy","Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",/static/images/701387.jpg
Nazi Supersoldier,Hollywood,"Horror, Action, Sci-Fi","A group of journalism students ventures into a remote forest and awakens a long-frozen World War II experiment a superhuman Nazi soldier. Hunted through cursed woods where trust crumbles and survival is slim, they soon learn that some sins demand blood.",/static/images/1301122.jpg
Delivery Run,Hollywood,"Action, Thriller","A food delivery driver gets caught in a deadly chase in the icy Minnesota wilderness, pursued by a crazed snowplow driver for unknown reasons, facing life-threatening situations and forced to outsmart his relentless pursuer alone.",/static/images/1336189.jpg
Superman,Hollywood,"Sci-Fi, Adventure, Action","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",/static/images/1061474.jpg
The Fantastic 4: First Steps,Hollywood,"Sci-Fi, Adventure, Action","Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",/static/images/617126.jpg
Hunting Season,Hollywood,"Action, Drama, Thriller","When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",/static/images/1387382.jpg
How to Train Your Dragon,Hollywood,"Fantasy, Action, Adventure","On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",/static/images/1087192.jpg
Wildcat,Hollywood,"Action, Thriller",An ex-black ops team reunite to pull off a desperate heist in order to save the life of their leader’s eight-year-old daughter.,/static/images/1448560.jpg
The World Will Tremble,Hollywood,Drama,"The incredible, untold true story of how a group of prisoners attempt a seemingly impossible escape from the first Nazi death camp in order to provide the first eyewitness account of the Holocaust.",/static/images/1419826.jpg
Nuremberg,Hollywood,Drama,"In postwar Germany, an American psychiatrist must determine whether Nazi prisoners are fit to go on trial for war crimes, and finds himself in a complex battle of intellect and ethics with Hermann Göring, Hitler's right-hand man.",/static/images/1214931.jpg
Titanic,Hollywood,"Drama, Romance","101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",/static/images/597.jpg
The Pearl Comb,Hollywood,Horror,"A doctor, hell-bent on proving a woman’s place is in the home and not practising medicine, is sent to investigate her miraculous claim - only to discover the source of her unearthly power...",/static/images/1445698.jpg
People We Meet on Vacation,Hollywood,"Romance, Comedy, Drama","Poppy's a free spirit. Alex loves a plan. After years of summer vacations, these polar-opposite pals wonder if they could be a perfect romantic match.",/static/images/1034716.jpg
The Inhabitants,Hollywood,"Thriller, Horror",A young couple gets more than they bargained for when they buy an historic bed and breakfast in New England only to discover that the old house is hiding a dark secret within its walls.,/static/images/359255.jpg
Spider-Man: Across the Spider-Verse,Hollywood,"Animation, Action, Adventure, Sci-Fi","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",/static/images/569094.jpg
The Dark Knight,Hollywood,"Action, Crime, Thriller","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",/static/images/155.jpg
Inception,Hollywood,"Action, Sci-Fi, Adventure","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",/static/images/27205.jpg
Awake,Hollywood,"Thriller, Crime, Mystery","While undergoing heart surgery, a man experiences a phenomenon called ‘anesthetic awareness’, which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves, his wife must make life-altering decisions while wrestling with her own personal drama.",/static/images/13483.jpg
The Godfather,Hollywood,"Drama, Crime","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",/static/images/238.jpg
Avengers: Infinity War,Hollywood,"Adventure, Action, Sci-Fi","As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",/static/images/299536.jpg
The Lord of the Rings: The Fellowship of the Ring,Hollywood,"Adventure, Fantasy, Action","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",/static/images/120.jpg
Good Boy,Hollywood,Horror,"A loyal dog moves to a rural family home with his owner Todd, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight to protect the one he loves most.",/static/images/1422096.jpg
The Shawshank Redemption,Hollywood,"Drama, Crime","Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",/static/images/278.jpg
The Beldham,Hollywood,Horror,"At the edge of postpartum psychosis, new mother Harper moves in with her own mother at their family's rural farmhouse. Soon she finds herself hunted by a threatening monster who has designs on her child.",/static/images/1090983.jpg
Wake Up Dead Man: A Knives Out Mystery,Hollywood,"Thriller, Mystery, Comedy","When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",/static/images/812583.jpg
28 Years Later,Hollywood,"Horror, Thriller, Sci-Fi","Twenty-eight years after the Rage virus outbreak, Britain remains sealed off from the world. A fortified island community survives in isolation—until a young boy’s journey to the mainland reveals how both the infected and the survivors have evolved.",/static/images/1100988.jpg
The Family Plan 2,Hollywood,"Action, Comedy","Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",/static/images/1363123.jpg
Voice of Shadows,Hollywood,"Horror, Mystery, Thriller",A young working class woman stands to inherit an estate if she and her boyfriend abide by a set of bizarre stipulations.,/static/images/1327881.jpg
Risqué,Hollywood,"Action, Crime, Thriller","Fired from a strip club, a vengeful dancer masterminds a high-stakes heist with fellow strippers to take down the corrupt boss and the men who underestimate them.",/static/images/1512623.jpg
Christy,Hollywood,Drama,"Christy Martin never imagined life beyond her small-town roots in West Virginia—until she discovered a knack for punching people. Fueled by grit, raw determination, and an unshakable desire to win, she charges into the world of boxing under the guidance of her trainer and manager-turned-husband, Jim. But while Christy flaunts a fiery persona in the ring, her toughest battles unfold outside it—confronting family, identity, and a relationship that just might become life-or-death.",/static/images/1287322.jpg
Wicked: For Good,Hollywood,"Fantasy, Adventure, Romance","As an angry mob rises against the Wicked Witch, Glinda and Elphaba will need to come together one final time. With their singular friendship now the fulcrum of their futures, they will need to truly see each other, with honesty and empathy, if they are to change themselves, and all of Oz, for good.",/static/images/967941.jpg
Ballerina,Hollywood,"Action, Thriller, Crime","Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.",/static/images/541671.jpg
Deadpool & Wolverine,Hollywood,"Action, Comedy, Sci-Fi","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",/static/images/533535.jpg
The Lord of the Rings: The Return of the King,Hollywood,"Adventure, Fantasy, Action","As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",/static/images/122.jpg
Spider-Man: No Way Home,Hollywood,"Action, Adventure, Sci-Fi","Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",/static/images/634649.jpg
Night of the Zoopocalypse,Hollywood,"Animation, Comedy, Horror, Adventure, Sci-Fi",A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus.,/static/images/1205229.jpg
Oppenheimer,Hollywood,Drama,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,/static/images/872585.jpg
The Conjuring: Last Rites,Hollywood,Horror,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,/static/images/1038392.jpg
